Node Name	Level	Type
36_1111111111	0	I
32_1111111111	1	I
35_0110212201	1	I
25_2110111121	2	I
31_1111111111	2	I
33_0120212201	2	I
34_0110212201	2	I
23_2110111221	3	I
24_2110111121	3	I
28_1111111111	3	I
30_1111111101	3	I
15_0120212201	3	L
16_0120212201	3	L
19_0100212201	3	L
20_0120212201	3	L
21_2110111221	4	I
22_2110111221	4	I
5_2110111121	4	L
6_2110111121	4	L
26_1111111111	4	I
27_1111111111	4	I
29_1111110101	4	I
13_1112111101	4	L
1_2110111221	5	L
2_2110111221	5	L
3_2110111221	5	L
4_2110111221	5	L
7_1111111101	5	L
8_1110111111	5	L
9_1111111111	5	L
10_1111111111	5	L
11_1111110101	5	L
12_1111110101	5	L
