Node Name	Level	Type
32_1111111111	0	I
2_2120101101	1	L
31_1110101101	1	I
25_2120102101	2	I
30_1110101101	2	I
21_2120102101	3	I
24_2020102101	3	I
26_2110101100	3	I
29_0100201001	3	I
19_2020102101	4	I
20_2120102101	4	I
22_2020102101	4	I
23_2020102101	4	I
13_2120101100	4	L
14_2100101000	4	L
27_0100201001	4	I
28_0100201001	4	I
4_2020102101	5	L
5_2020102101	5	L
6_2120102101	5	L
7_2020102101	5	L
8_2020102101	5	L
9_2020102101	5	L
10_2020102101	5	L
11_2020102101	5	L
15_0100201001	5	L
16_0100201001	5	L
17_0100201001	5	L
18_0100201001	5	L
