Node Name	Level	Type
39_1111111111	0	I
31_1111111011	1	I
38_1111111011	1	I
24_1111001011	2	I
30_1111111011	2	I
34_1111111011	2	I
37_1111101011	2	I
1_1111001011	3	L
23_1111001011	3	I
27_1111111011	3	I
29_1111001011	3	I
32_1111111011	3	I
33_1111001011	3	I
35_1111101011	3	I
36_1111101011	3	I
22_1111001011	4	I
5_1111001011	4	L
25_1111111011	4	I
26_1111101011	4	I
11_1111001011	4	L
28_1111001011	4	I
14_1112011011	4	L
15_1111101011	4	L
16_1111001011	4	L
17_1111001011	4	L
18_1111001011	4	L
19_1111101011	4	L
20_2101101001	4	L
21_1111001011	4	L
3_1111001011	5	L
4_1111001011	5	L
6_1111101011	5	L
7_1111011011	5	L
8_1111101011	5	L
9_1111001011	5	L
12_1111001011	5	L
13_1111001011	5	L
