Node Name	Level	Type
56_1111111111	0	I
33_0112210221	1	I
55_1101111101	1	I
31_0122210221	2	I
32_0212210221	2	I
45_2102111101	2	I
54_1100001101	2	I
1_0122210221	3	L
2_0122210221	3	L
3_0212210221	3	L
4_0212210221	3	L
38_2102110101	3	I
44_2102211101	3	I
48_1100001201	3	I
53_2100002001	3	I
36_2102120202	4	I
37_2102000000	4	I
41_2102212101	4	I
43_2102210101	4	I
46_2100001201	4	I
47_1100001201	4	I
51_2100002001	4	I
52_2100002001	4	I
34_2102120202	5	I
35_2102120202	5	I
9_2102000000	5	L
12_2202000000	5	L
39_2102212202	5	I
40_2102212101	5	I
17_2102210101	5	L
42_2102210101	5	I
21_2100001201	5	L
22_2100001201	5	L
23_0100001201	5	L
24_1100001201	5	L
49_2100002001	5	I
50_2100002001	5	I
29_2100002001	5	L
30_2100002001	5	L
5_2102120202	6	L
6_2102120202	6	L
7_2102120202	6	L
8_2102120202	6	L
13_2102212202	6	L
14_2102212202	6	L
15_2102212101	6	L
16_2102212101	6	L
19_2102210101	6	L
20_2102210101	6	L
25_2100002001	6	L
26_2100002001	6	L
27_2100002001	6	L
28_2100002001	6	L
