Node Name	Level	Type
39_1111111111	0	I
32_2112111111	1	I
38_1111111111	1	I
27_2112111111	2	I
31_2112111211	2	I
35_1110001111	2	I
37_1112111111	2	I
23_2112111111	3	I
26_2112111201	3	I
29_2112111221	3	I
30_2112111201	3	I
33_1110001221	3	I
34_1110001101	3	I
36_1112111111	3	I
20_1112011221	3	L
21_2122111121	4	I
22_2112111111	4	I
24_2112111201	4	I
25_2112111201	4	I
9_2112211221	4	L
28_2112111221	4	I
12_2112111201	4	L
13_2112111201	4	L
14_1110001221	4	L
15_1110001221	4	L
16_1110001201	4	L
17_1100001001	4	L
18_1112111221	4	L
19_2102111000	4	L
1_2122111121	5	L
2_2122111121	5	L
3_2102111201	5	L
4_2122111121	5	L
5_2112111201	5	L
6_2112111201	5	L
7_2112111201	5	L
8_2112111201	5	L
10_2112111221	5	L
11_2112111221	5	L
