Node Name	Level	Type
84_1111111111	0	I
60_1111111111	1	I
83_1111111111	1	I
53_1111111111	2	I
59_1111111111	2	I
75_1111111011	2	I
82_1111111111	2	I
49_2111111111	3	I
52_1111111211	3	I
55_1112111111	3	I
58_2100101021	3	I
67_2111111011	3	I
74_1111111011	3	I
78_1111111111	3	I
81_2112111001	3	I
47_2111111111	4	I
48_2101111011	4	I
50_2112111221	4	I
51_1111001211	4	I
54_1112111111	4	I
12_2112101000	4	L
56_2000100021	4	I
57_2100101021	4	I
63_2111101011	4	I
66_2111111011	4	I
70_1111111011	4	I
73_1111111011	4	I
76_1112111111	4	I
77_1111101111	4	I
79_2112111001	4	I
80_2112111001	4	I
1_2110101001	5	L
2_2112111221	5	L
3_2100101000	5	L
4_2102110021	5	L
5_2112111221	5	L
6_2112111221	5	L
7_1111001211	5	L
8_1111001211	5	L
9_2112111211	5	L
10_0112210011	5	L
13_2000100021	5	L
14_2000100021	5	L
15_2100101021	5	L
16_2100101021	5	L
61_2111101021	5	I
62_2111101011	5	I
64_2111101021	5	I
65_2111111001	5	I
68_1111001010	5	I
69_1112111011	5	I
71_1111101021	5	I
72_1112211011	5	I
33_1122111121	5	L
34_1112011201	5	L
35_1111201221	5	L
36_2101101000	5	L
43_2112111001	5	L
44_2112111001	5	L
45_2112111001	5	L
46_2112111000	5	L
17_2111101021	6	L
18_2111101021	6	L
19_2111101011	6	L
20_2111101011	6	L
21_2111101021	6	L
22_2110101021	6	L
23_2111101001	6	L
24_2112111001	6	L
25_1101001020	6	L
26_1111001000	6	L
27_2102111000	6	L
28_1112011011	6	L
29_1111101021	6	L
30_2100101021	6	L
31_1112211011	6	L
32_1112211011	6	L
