Node Name	Level	Type
52_1111111111	0	I
41_1111111111	1	I
51_1111111111	1	I
34_1111111111	2	I
40_1111111111	2	I
42_1110111121	2	I
50_1111111111	2	I
1_1112111111	3	L
33_1111111111	3	I
37_1111111111	3	I
39_1111111111	3	I
14_1110111121	3	L
15_1110111121	3	L
44_1111101001	3	I
49_1111111111	3	I
3_1112111001	4	L
32_1111111111	4	I
35_1111111111	4	I
36_2111111111	4	I
10_1111111001	4	L
38_1111111111	4	I
43_2100001001	4	I
25_1111102001	4	L
45_1111111121	4	I
48_1111111201	4	I
5_2110111211	5	L
4_1112111111	5	L
6_1111111111	5	L
7_1111111111	5	L
8_2111111111	5	L
9_2111111111	5	L
12_1111110111	5	L
13_2110111001	5	L
22_2100002000	5	L
23_2100000001	5	L
26_1110111121	5	L
27_1112111121	5	L
46_1111112201	5	I
47_1111111201	5	I
28_1111112201	6	L
29_1111112201	6	L
30_1111110201	6	L
31_1111112201	6	L
