Node Name	Level	Type
30_1111111111	0	I
23_1111011111	1	I
29_1111111111	1	I
19_1111011111	2	I
22_1111001201	2	I
26_1111211001	2	I
28_1111101111	2	I
17_0111001211	3	I
18_1112011000	3	I
20_1111001201	3	I
21_1111001201	3	I
24_1111201001	3	I
25_0111211001	3	I
14_1110001211	3	L
27_1111101111	3	I
1_0111001211	4	L
2_0111001211	4	L
3_0112011000	4	L
4_2102011000	4	L
5_1111001201	4	L
6_1111001201	4	L
7_1111001201	4	L
8_1111001201	4	L
9_1110201001	4	L
10_1111201001	4	L
11_0112211001	4	L
12_0101201001	4	L
15_0111001211	4	L
16_2100101000	4	L
