Node Name	Level	Type
55_1111111111	0	I
43_2111111111	1	I
54_1111111111	1	I
36_2112111211	2	I
42_2110111111	2	I
50_1111111121	2	I
53_1101111001	2	I
33_2112111211	3	I
35_2112012221	3	I
39_2110111221	3	I
41_2110111001	3	I
46_2111111021	3	I
49_1112211221	3	I
51_0102111001	3	I
52_1100211001	3	I
31_2112111211	4	I
32_2112211200	4	I
34_2112012221	4	I
8_2122012221	4	L
37_2110211221	4	I
38_2110011221	4	I
15_2110111001	4	L
40_2110111001	4	I
44_2111211021	4	I
45_2112111021	4	I
47_2112212221	4	I
48_0122211221	4	I
27_0102111001	4	L
28_0102212001	4	L
29_1100212001	4	L
30_1100211001	4	L
1_2112011221	5	L
2_2112211200	5	L
3_2112211200	5	L
4_2112211200	5	L
5_2122012221	5	L
6_2102012221	5	L
11_2110211221	5	L
12_2110211221	5	L
13_2110011221	5	L
14_2110011221	5	L
17_2110111001	5	L
18_2110111001	5	L
19_2110211021	5	L
20_2122211021	5	L
21_2112211021	5	L
22_2102011021	5	L
23_2112212221	5	L
24_2112212221	5	L
25_0122212221	5	L
26_0122211221	5	L
