Node Name	Level	Type
60_1111111111	0	I
41_1111111211	1	I
59_1111111111	1	I
4_1111211221	2	L
40_0111111211	2	I
51_0100111111	2	I
58_1111111111	2	I
38_0111111211	3	I
39_0111011221	3	I
47_0000111111	3	I
50_0100111121	3	I
52_1111211111	3	I
57_1112111211	3	I
36_0112110211	4	I
37_0110111211	4	I
10_0111011221	4	L
11_0110011221	4	L
44_0000111111	4	I
46_0000111111	4	I
48_0000211121	4	I
49_0100111121	4	I
28_2111211111	4	L
29_1111211101	4	L
53_1112211211	4	I
56_1112111211	4	I
6_0112110211	5	L
7_0112110211	5	L
8_0110111211	5	L
9_0110111211	5	L
42_0000111111	5	I
43_0000111111	5	I
21_0000111111	5	L
45_0000111121	5	I
24_0000211121	5	L
25_0000211121	5	L
26_0000111121	5	L
27_0100111121	5	L
30_1112211200	5	L
31_1112211221	5	L
54_0112111221	5	I
55_2112111211	5	I
17_0000111111	6	L
18_0000111111	6	L
19_0000111111	6	L
20_0000111111	6	L
22_0000111121	6	L
23_0000111121	6	L
32_0112111221	6	L
33_0112110221	6	L
34_2112111221	6	L
35_2112111201	6	L
