Node Name	Level	Type
57_1111111111	0	I
41_0111111121	1	I
56_2111111111	1	I
37_0000010121	2	I
40_0112211221	2	I
48_2112011221	2	I
55_2111111111	2	I
35_0000000221	3	I
36_0000010021	3	I
38_0112211221	3	I
39_0112212221	3	I
44_2112011221	3	I
47_2112011221	3	I
51_2112111101	3	I
54_2000212011	3	I
33_0000000221	4	I
34_0000000221	4	I
5_0000010021	4	L
6_0000010021	4	L
13_0112211221	4	L
14_0112211221	4	L
15_0112212221	4	L
16_0112212221	4	L
42_2112011221	4	I
43_2112011221	4	I
45_2112011221	4	I
46_2112011221	4	I
49_2112110101	4	I
50_2112211201	4	I
52_2000212000	4	I
53_2000212021	4	I
1_0000000221	5	L
2_0000000221	5	L
3_0000000221	5	L
4_0000000221	5	L
17_2112011221	5	L
18_2112011221	5	L
19_2112011221	5	L
20_2112011221	5	L
21_2112011221	5	L
22_2112011221	5	L
23_2112011221	5	L
24_2112011221	5	L
25_2112210000	5	L
26_2112000201	5	L
27_2112211201	5	L
28_2112211201	5	L
29_2000212000	5	L
30_2000212000	5	L
31_2000212021	5	L
32_2000212021	5	L
