Node Name	Level	Type
79_1111111111	0	I
68_1111111111	1	I
78_1111111111	1	I
56_1111111111	2	I
67_1111111111	2	I
71_1111111111	2	I
77_1110111221	2	I
52_1111111111	3	I
55_1111111111	3	I
59_1111111111	3	I
66_1111111111	3	I
69_1112111111	3	I
70_1100100000	3	I
73_1110111221	3	I
76_1110111221	3	I
48_1111011211	4	I
51_1110111121	4	I
11_1112111111	4	L
54_1111111211	4	I
57_1111111111	4	I
58_1112111121	4	I
62_1111111111	4	I
65_1111111011	4	I
32_1112111021	4	L
35_1102111200	4	L
36_1100000000	4	L
39_1100100000	4	L
72_1110111221	4	I
42_1110111221	4	L
74_1110111221	4	I
75_1110111221	4	I
47_1111011211	5	I
6_1111011221	5	L
49_1110111221	5	I
50_1110111121	5	I
12_1111111211	5	L
53_1111111211	5	I
15_1111111111	5	L
16_1111111111	5	L
18_1112111121	5	L
19_1112111121	5	L
60_0111211001	5	I
61_1111111111	5	I
63_1110212021	5	I
64_2222110011	5	I
40_1110111221	5	L
41_1110111221	5	L
43_1110111221	5	L
44_1110111221	5	L
45_1110111221	5	L
46_1100111221	5	L
1_1111011221	6	L
3_1111011201	6	L
7_1110111221	6	L
8_1110111221	6	L
9_1110111121	6	L
10_1110111121	6	L
13_1111111211	6	L
14_1111111211	6	L
20_0111211001	6	L
21_0111211001	6	L
22_1111111101	6	L
26_1110111021	6	L
27_1110212021	6	L
29_1110212021	6	L
30_2222210021	6	L
31_2222110000	6	L
