Node Name	Level	Type
30_1111111111	0	I
22_1101111000	1	I
29_2110101101	1	I
18_1100011000	2	I
21_1101111000	2	I
25_2110101101	2	I
28_2020100101	2	I
2_1100001000	3	L
17_1100011000	3	I
19_1101111000	3	I
20_1100101000	3	I
23_2120101101	3	I
24_2110101100	3	I
26_2020100101	3	I
27_2020100101	3	I
3_1100010000	4	L
4_1100001000	4	L
5_1102111000	4	L
6_2100111000	4	L
7_1100101000	4	L
8_1100001000	4	L
9_2120100100	4	L
10_2220102101	4	L
11_2220102200	4	L
12_2100101000	4	L
13_2020100101	4	L
14_2020100101	4	L
15_2020100101	4	L
16_2020100101	4	L
