,dataset,No_of_cells,1_in_col_1,1_in_col_2,1_in_col_3,1_in_col_4,1_in_col_5,1_in_col_6,1_in_col_7,1_in_col_8,1_in_col_9,1_in_col_10,2_in_col_1,2_in_col_2,2_in_col_3,2_in_col_4,2_in_col_5,2_in_col_6,2_in_col_7,2_in_col_8,2_in_col_9,2_in_col_10,0_in_col_1,0_in_col_2,0_in_col_3,0_in_col_4,0_in_col_5,0_in_col_6,0_in_col_7,0_in_col_8,0_in_col_9,0_in_col_10,max 1 in a col,min 1 in a col,max 2 in a col,min 2 in a col,max 0 in a col,min 0 in a col,entropy_in_col_1,entropy_in_col_2,entropy_in_col_3,entropy_in_col_4,entropy_in_col_5,entropy_in_col_6,entropy_in_col_7,entropy_in_col_8,entropy_in_col_9,entropy_in_col_10,Unique_Code_In_A_Row,max 1 in a row,min 1 in a row,max 2 in a row,min 2 in a row,max 0 in a row,min 0 in a row,avg no 1 in a row,avg no 2 in a row,avg no 0 in a row,avg no 0 and 2 in a row
0,1,9,0.0,0.666666667,0.7777777779999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.7777777779999999,0.666666667,0.0,0.7777777779999999,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.23004847899999997,0.23004847899999997,0.276434591,0.0,0.23004847899999997,0.276434591,0.0,0.0,5,4,3,5,3,4,1,0.34444444399999996,0.444444444,0.21111111100000002,6.555555556
0,1,9,0.0,0.666666667,0.7777777779999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.7777777779999999,0.666666667,0.0,0.7777777779999999,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.23004847899999997,0.23004847899999997,0.276434591,0.0,0.23004847899999997,0.276434591,0.0,0.0,5,4,3,5,3,4,1,0.34444444399999996,0.444444444,0.21111111100000002,6.555555556
0,1,9,0.0,0.666666667,0.7777777779999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.7777777779999999,0.666666667,0.0,0.7777777779999999,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.23004847899999997,0.23004847899999997,0.276434591,0.0,0.23004847899999997,0.276434591,0.0,0.0,5,4,3,5,3,4,1,0.34444444399999996,0.444444444,0.21111111100000002,6.555555556
0,1,9,0.0,0.666666667,0.7777777779999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.7777777779999999,0.666666667,0.0,0.7777777779999999,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.23004847899999997,0.23004847899999997,0.276434591,0.0,0.23004847899999997,0.276434591,0.0,0.0,5,4,3,5,3,4,1,0.34444444399999996,0.444444444,0.21111111100000002,6.555555556
0,1,9,0.0,0.666666667,0.7777777779999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.7777777779999999,0.666666667,0.0,0.7777777779999999,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.23004847899999997,0.23004847899999997,0.276434591,0.0,0.23004847899999997,0.276434591,0.0,0.0,5,4,3,5,3,4,1,0.34444444399999996,0.444444444,0.21111111100000002,6.555555556
0,1,9,0.0,0.666666667,0.7777777779999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.7777777779999999,0.666666667,0.0,0.7777777779999999,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.23004847899999997,0.23004847899999997,0.276434591,0.0,0.23004847899999997,0.276434591,0.0,0.0,5,4,3,5,3,4,1,0.34444444399999996,0.444444444,0.21111111100000002,6.555555556
0,1,9,0.0,0.666666667,0.7777777779999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.7777777779999999,0.666666667,0.0,0.7777777779999999,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.23004847899999997,0.23004847899999997,0.276434591,0.0,0.23004847899999997,0.276434591,0.0,0.0,5,4,3,5,3,4,1,0.34444444399999996,0.444444444,0.21111111100000002,6.555555556
0,1,9,0.0,0.666666667,0.7777777779999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.7777777779999999,0.666666667,0.0,0.7777777779999999,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.23004847899999997,0.23004847899999997,0.276434591,0.0,0.23004847899999997,0.276434591,0.0,0.0,5,4,3,5,3,4,1,0.34444444399999996,0.444444444,0.21111111100000002,6.555555556
0,1,9,0.0,0.666666667,0.7777777779999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.7777777779999999,0.666666667,0.0,0.7777777779999999,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.23004847899999997,0.23004847899999997,0.276434591,0.0,0.23004847899999997,0.276434591,0.0,0.0,5,4,3,5,3,4,1,0.34444444399999996,0.444444444,0.21111111100000002,6.555555556
1,2,12,0.916666667,1.0,0.833333333,0.5,0.5,0.916666667,0.5,0.333333333,0.0,1.0,0.083333333,0.0,0.0,0.41666666700000005,0.333333333,0.0,0.41666666700000005,0.0,0.5,0.0,0.0,0.0,0.166666667,0.083333333,0.166666667,0.083333333,0.083333333,0.666666667,0.5,0.0,12,0,6,0,8,0,0.124571285,0.0,0.195676247,0.39886811899999997,0.43924729100000004,0.124571285,0.39886811899999997,0.276434591,0.301029996,0.0,4,9,3,3,1,6,0,0.65,0.175,0.175,3.5
