Node Name	Level	Type
77_1111111111	0	I
53_1111211111	1	I
76_1111211111	1	I
48_1112211111	2	I
52_2111212121	2	I
60_2111211211	2	I
75_0112211111	2	I
3_0112211221	3	L
4_2222212000	3	L
51_2111212121	3	I
17_2121212221	3	L
56_2110211201	3	I
59_2112212221	3	I
67_0012211000	3	I
74_0112211111	3	I
49_2111212121	4	I
50_2111212121	4	I
54_2110211201	4	I
55_2110211201	4	I
57_2212212221	4	I
58_2112212221	4	I
63_0012211000	4	I
66_0012211000	4	I
70_0112211111	4	I
73_0112211221	4	I
10_2111212121	5	L
11_2111212121	5	L
12_2111212121	5	L
13_2111212121	5	L
20_2110211201	5	L
21_2110211201	5	L
22_2110211201	5	L
23_2110211201	5	L
24_2212212221	5	L
25_2212212221	5	L
26_2112212221	5	L
27_2112212221	5	L
61_0012211000	5	I
62_0012211000	5	I
64_0012211000	5	I
65_0012211000	5	I
68_0112210000	5	I
69_0112211221	5	I
71_0112211221	5	I
72_0112212221	5	I
32_0012211000	6	L
33_0012211000	6	L
34_0012211000	6	L
35_0012211000	6	L
36_0012211000	6	L
37_0012211000	6	L
38_0012211000	6	L
39_0012211000	6	L
40_0112210000	6	L
41_0112210000	6	L
42_0112211221	6	L
43_0112211221	6	L
44_0112211221	6	L
45_0112211221	6	L
46_0112212221	6	L
47_0112212221	6	L
