Node Name	Level	Type
46_1111111111	0	I
34_1111111011	1	I
45_1111111111	1	I
1_2100101000	2	L
33_1111111011	2	I
40_1111111111	2	I
44_1111101011	2	I
29_1111111011	3	I
32_1111111001	3	I
36_1111111011	3	I
39_1111111121	3	I
21_1111001011	3	L
43_1111101011	3	I
27_1111101021	4	I
28_1101111000	4	I
30_1111111001	4	I
31_1112111001	4	I
35_1211111021	4	I
16_2100101000	4	L
37_0112111021	4	I
38_1100101221	4	I
41_1111101011	4	I
42_1111001011	4	I
6_1111101020	5	L
7_1111001021	5	L
8_1101001000	5	L
9_2101111000	5	L
10_1112111002	5	L
11_2100001000	5	L
12_1112011001	5	L
13_2102111000	5	L
14_1212011021	5	L
15_1211101021	5	L
17_0112211021	5	L
18_0112011021	5	L
19_2100101221	5	L
20_1100201221	5	L
23_1111001000	5	L
24_1111101011	5	L
25_1111001011	5	L
26_1111001011	5	L
