Node Name	Level	Type
41_1111111111	0	I
37_1111111211	1	I
40_2110101011	1	I
29_1111111221	2	I
36_1111111211	2	I
38_2110101021	2	I
39_2100101000	2	I
25_1110001221	3	I
28_2111111221	3	I
32_2111111201	3	I
35_1112111221	3	I
15_2110101021	3	L
16_2110101021	3	L
17_2100101000	3	L
24_2100101000	3	L
1_1110001221	4	L
2_1110001221	4	L
26_2110101221	4	I
27_2112111221	4	I
30_2111101201	4	I
31_2112111201	4	I
33_2112111221	4	I
34_1112111221	4	I
3_2110101221	5	L
4_2120101221	5	L
5_2112111221	5	L
6_2112111221	5	L
7_2111101201	5	L
8_2111101201	5	L
9_2112111201	5	L
10_2112111201	5	L
11_2112111221	5	L
12_2112111221	5	L
13_1112111221	5	L
14_2112111221	5	L
