Node Name	Level	Type
29_1111111111	0	I
22_1111112121	1	I
28_2111011121	1	I
18_0111112221	2	I
21_1110112121	2	I
24_2211012221	2	I
27_2111010121	2	I
16_0111112221	3	I
17_0111112221	3	I
19_1110012121	3	I
20_0110112221	3	I
23_2211012221	3	I
11_2211012221	3	L
25_2111010121	3	I
26_2111010121	3	I
1_0111112221	4	L
2_0111112221	4	L
3_0111112221	4	L
4_0111112221	4	L
5_1110012221	4	L
6_1110012021	4	L
7_0110112221	4	L
8_0110112221	4	L
9_2211012221	4	L
10_2211012221	4	L
12_2111010121	4	L
13_2111010121	4	L
14_2111010121	4	L
15_2111010121	4	L
