Node Name	Level	Type
58_1111111111	0	I
47_1111111111	1	I
57_1111111111	1	I
40_0122211011	2	I
46_1111111111	2	I
53_1111111111	2	I
56_1111111121	2	I
36_0122212021	3	I
39_0122211011	3	I
42_1111111011	3	I
45_2111111221	3	I
49_1111111111	3	I
52_1111111111	3	I
55_1111111121	3	I
33_1112212121	3	L
34_0122212021	4	I
35_0122212021	4	I
37_0122211021	4	I
38_0122211011	4	I
41_0111111011	4	I
12_2110111001	4	L
43_2111111221	4	I
44_2111111221	4	I
48_1112111111	4	I
23_2110000000	4	L
50_1111211101	4	I
51_1111111221	4	I
54_1111111221	4	I
31_0101111121	4	L
1_0122212021	5	L
2_0122212021	5	L
3_0122212021	5	L
4_0022212021	5	L
5_0122211021	5	L
6_0122211021	5	L
7_0122211011	5	L
8_0122211011	5	L
9_0111211021	5	L
10_0111001001	5	L
13_2111211221	5	L
14_2111111221	5	L
15_2111111221	5	L
16_2111111221	5	L
17_2112111111	5	L
18_0012111111	5	L
24_1011211101	5	L
25_1112211101	5	L
26_1111211221	5	L
27_1111011221	5	L
28_0111111221	5	L
29_1111111221	5	L
