Node Name	Level	Type
45_1111111111	0	I
39_1111111111	1	I
44_1111111111	1	I
36_1111111111	2	I
38_2110111211	2	I
40_1111111111	2	I
43_1111111111	2	I
33_1111111111	3	I
35_1111111111	3	I
37_2110111211	3	I
15_2110111211	3	L
23_1111111101	3	L
24_1111111021	3	L
41_1111111011	3	I
42_1111111100	3	I
31_1111111111	4	I
32_1111111111	4	I
34_1111111011	4	I
7_1111111101	4	L
13_2110111211	4	L
14_2110111211	4	L
27_1111111000	4	L
28_0102001011	4	L
29_1111111100	4	L
30_2100000000	4	L
1_1111000011	5	L
2_0111111111	5	L
3_1111111111	5	L
4_1111111111	5	L
5_1111111001	5	L
6_1102010010	5	L
