Node Name	Level	Type
50_1111111111	0	I
43_1111111111	1	I
49_1111111101	1	I
29_2101101000	2	I
42_1111111111	2	I
46_1111111100	2	I
48_2110101001	2	I
27_2100101000	3	I
28_2101101000	3	I
36_2111111111	3	I
41_1111111100	3	I
44_0111111100	3	I
45_2121101100	3	I
47_2110101000	3	I
26_2210100001	3	L
1_2100101000	4	L
2_2100101000	4	L
3_2100101000	4	L
4_2101101000	4	L
32_2100121000	4	I
35_2112111121	4	I
38_0112111200	4	I
40_2100111000	4	I
20_0112211200	4	L
21_0111011000	4	L
22_2121101100	4	L
23_2121101100	4	L
24_2110101000	4	L
25_2110101000	4	L
30_2100121000	5	I
31_2100121000	5	I
33_2122111121	5	I
34_2112111021	5	I
13_0112211200	5	L
37_0112011200	5	I
39_2100111000	5	I
19_2100101000	5	L
5_2100121000	6	L
6_2100121000	6	L
7_2100121000	6	L
8_2000120000	6	L
9_2122211121	6	L
10_2122111121	6	L
11_2122111021	6	L
12_2112112021	6	L
14_0112011200	6	L
15_0112011200	6	L
16_2100111000	6	L
17_2100101000	6	L
