Node Name	Level	Type
39_1111111111	0	I
32_1111111111	1	I
38_1111111111	1	I
25_1111111111	2	I
31_1111111111	2	I
34_1111011011	2	I
37_1111111111	2	I
21_1111001000	3	I
24_1111111111	3	I
27_1112211101	3	I
30_1111101111	3	I
14_1100001000	3	L
33_1112011021	3	I
35_1111111010	3	I
36_1111111121	3	I
1_2101001000	4	L
2_1111001000	4	L
22_2111101011	4	I
23_1112111121	4	I
26_1112211101	4	I
9_0102211000	4	L
28_1111001201	4	I
29_2111101121	4	I
15_1112011021	4	L
16_0102011021	4	L
17_2102111000	4	L
18_1111001010	4	L
19_1110201021	4	L
20_1102011221	4	L
3_2102101000	5	L
4_2111101021	5	L
5_1112011020	5	L
6_2102111221	5	L
7_1102211001	5	L
8_1112211200	5	L
10_1101001201	5	L
11_1111001201	5	L
12_2100101020	5	L
13_2011102221	5	L
