Node Name	Level	Type
49_1111111111	0	I
38_1111111111	1	I
48_1111111111	1	I
33_1111111111	2	I
37_1111111111	2	I
42_1111111111	2	I
47_1111111111	2	I
31_1111111111	3	I
32_1111111111	3	I
35_1111111111	3	I
36_1111111111	3	I
39_1111111111	3	I
41_1111111111	3	I
45_1111111111	3	I
46_1111111111	3	I
29_1111111111	4	I
30_1111111211	4	I
6_1111111121	4	L
7_2111111111	4	L
8_1111111111	4	L
34_1111111111	4	I
12_1111111101	4	L
14_1111111111	4	L
16_1111111111	4	L
17_1111110111	4	L
18_1111111111	4	L
40_1111111111	4	I
43_1111111111	4	I
44_1111111111	4	I
25_1111111111	4	L
28_1111111111	4	L
1_1111101011	5	L
2_1111111111	5	L
3_1111111211	5	L
4_1111111211	5	L
9_1111111111	5	L
10_1111111111	5	L
19_1111111111	5	L
20_1111111111	5	L
21_1111111111	5	L
22_1111111111	5	L
23_1111111111	5	L
24_1111111111	5	L
